"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
1.0134,0,0.0016387,-0.0038306,-0.05589,-0.0061402,-0.0071774,-0.05591,0.5,0.040489,3.3947,0,0,0,-1,6.2855e-06,-0.00021746,-0.0017583,-0.0028441,0.083173,0.9961,0.95,0.55,0,0.048527,-0.33505
1.0094,0,0.0018563,-0.001657,-0.056383,-0.0078723,-0.0068196,-0.056922,0.5,0.03563,3.3862,0,0,0,-1,-5.0328e-05,-4.5328e-05,-0.0014452,-0.0029666,0.031893,0.99946,0.95,0.55,0,0.018345,-0.33321
1.0225,0,0.0011074,-0.010353,-0.054198,0.0080049,-0.01214,-0.054093,0.5,0.049474,3.4381,0,0,0,-1,-6.4866e-05,-0.00070533,-0.0025014,-0.0028192,0.26344,0.96378,0.95,0.55,0,0.15343,-0.3536
1.0198,0,0.0012658,-0.0083631,-0.055119,0.0084675,-0.0096152,-0.055105,0.5,0.042242,3.422,0,0,0,-1,-1.3079e-05,-0.00039383,-0.0018002,-0.0024152,0.20912,0.97747,0.95,0.55,0,0.12229,-0.34601
1.0155,0,0.0015108,-0.0063426,-0.055683,-0.00011805,-0.006431,-0.055818,0.5,0.045212,3.4067,0,0,0,-1,-4.3367e-05,-0.00035857,-0.0020356,-0.002672,0.14851,0.98809,0.95,0.55,0,0.086648,-0.33964
1.0143,0,0.0016098,-0.004592,-0.05585,-0.0038234,-0.0065577,-0.055817,0.5,0.042122,3.3989,0,0,0,-1,-1.5835e-05,-0.00027649,-0.0019207,-0.002819,0.10119,0.99427,0.95,0.55,0,0.059031,-0.33608
1.024,0,0.00099492,-0.011212,-0.05388,0.010035,-0.015746,-0.052948,0.5,0.050208,3.4451,0,0,0,-1,-4.9359e-05,-0.0007975,-0.0025,-0.0028062,0.28532,0.9576,0.95,0.55,-1.7347e-18,0.16602,-0.35713
1.0352,0,0.00067083,-0.013763,-0.0517,-0.02304,-0.032646,-0.045029,0.5,0.048281,3.4736,0,0,0,-1,-1.5738e-06,-0.00083211,-0.0021638,-0.0032372,0.35874,0.93283,0.95,0.55,0,0.2081,-0.37143
1.0303,0,0.00079095,-0.012585,-0.052776,-0.0075877,-0.025999,-0.047931,0.5,0.049433,3.4609,0,0,0,-1,-3.3324e-05,-0.00081287,-0.0023535,-0.003029,0.32537,0.94445,0.95,0.55,0,0.18899,-0.36471
1.0183,0,0.0013092,-0.0076567,-0.055322,0.0061896,-0.0083493,-0.055403,0.5,0.042247,3.4158,0,0,0,-1,-5.2192e-07,-0.00034781,-0.0016932,-0.0025285,0.18865,0.98154,0.95,0.55,0,0.11031,-0.34363
